0,1,2,3,_id,_id;ID;Target
Jumbo, Carrefour, Trusted Chinese e Emergency Chinese. Algum. Eu n�o sei o que h� com isso. Mudei meu vermute di�rio ... https://t.co/zhbHXwSEBN;21/09/2021 17:30,,614f1c0023345224b3b6a463,614bd72669d68884901ff554;0
@Filledoctobre @krekrekr 7/7 mercado carrefour?;21/09/2021 17:30,,,,614f1c0023345224b3b6a464,614bd72669d68884901ff555;0
Bom ir para a encruzilhada;21/09/2021 17:27,,,,614f1c0023345224b3b6a465,614bd72669d68884901ff557;1
CARREFOUR EST� COM 10 VAGAS PARA OPERADOR DE CAIXA EM JUNDIA� (21/09/2021) CADASTRE SEU CURR�CULO! https://t.co/ZGv80XmiiF;21/09/2021 17:27,,,,614f1c0023345224b3b6a466,614bd72669d68884901ff558;0
Quem quiser leite hoje 00:30 na passarela do Carrefour Aricanduva...;21/09/2021 17:23,,,,614f1c0023345224b3b6a467,614bd72669d68884901ff559;0
Cad� os cornos e as putas ? https://t.co/YpB4kYsDlx;21/09/2021 17:21,,,,614f1c0023345224b3b6a468,614bd72669d68884901ff55a;1
# �LTIMA HORA ?? Carrefour vende seu hipermercado em Pamplona para um fundo de investimento;21/09/2021 17:20,,,,614f1c0023345224b3b6a469,614bd72669d68884901ff55b;0
https://t.co/pnDrO1bdgK https://t.co/A0ngzjhnYA;21/09/2021 17:20,,,,614f1c0023345224b3b6a46a,614bd72669d68884901ff55c;0
vai carrefour entrega meu bira novo logo puta;21/09/2021 17:19,,,,614f1c0023345224b3b6a46b,614bd72669d68884901ff55d;1
hahagarthegzha jv na encruzilhada h� um boug que rouba 2 garrafas de vodka no caixa (uma grande daronne) a corrida e� https://t.co/z73EQu6MCB;21/09/2021 17:19,,,,614f1c0023345224b3b6a46c,614bd72669d68884901ff55e;1
@botUMA_ Al Carrefour e volta;21/09/2021 17:17,,,,614f1c0023345224b3b6a46d,614bd72669d68884901ff55f;0
mas ca�tico que a Americanas definitivamente � o Carrefour;21/09/2021 17:17,,,,614f1c0023345224b3b6a46e,614bd72669d68884901ff560;1
Bem, � oficial: Xbox compra Carrefour. Iogurtes e Coca Cola chegar�o no primeiro dia no Game Pass� https://t.co/ChPX2H6IzW;21/09/2021 17:16,,,614f1c0023345224b3b6a46f,614bd72669d68884901ff561;0
@Danimdellatorre @lacha Milei, o delinquente n�o diz isso, mas ele � um escravo pago do exemplo mais poderoso sendo ... https://t.co/zTZauz3vbY;21/09/2021 17:15,,614f1c0023345224b3b6a470,614bd72669d68884901ff562;1
@ luunakuu Ou beba tudo isso (e morra de taquicardia, mas isso � o menos ...);21/09/2021 17:15,,,614f1c0023345224b3b6a471,614bd72669d68884901ff563;1
Extra: tirei uma foto ... https://t.co/bbSLjqfUQi;21/09/2021 17:13,,,,614f1c0023345224b3b6a472,614bd72669d68884901ff564;0
Compras caras? Eurospin, Aldi, Carrefour, Conad e Famila s�o as marcas mais convenientes de acordo com Altroconsumo https://t.co/s3pHTFk9Zo;21/09/2021 17:12,614f1c0023345224b3b6a473,614bd72669d68884901ff565;0
@f_ulucan @ Sevgivesefalet Voc� est� certo. Diga as mesmas maldi��es para os 5 empreiteiros que roubaram a na��o que constru�ram uma ponte rodovi�ria com ped�gio� https://t.co/Jkidq4JtVz;21/09/2021 17:10,,,,614f1c0023345224b3b6a474,614bd72669d68884901ff566;0
@khoneybaby gostava mais do Carrefour corredor maior;21/09/2021 17:10,,,,614f1c0023345224b3b6a475,614bd72669d68884901ff567;0
Divirta-se resolvendo Sudoku.;21/09/2021 17:07,,,,614f1c0023345224b3b6a476,614bd72669d68884901ff568;0
Mega Puzzle Sudoku ;21/09/2021 17:05,,,,614f1c0023345224b3b6a477,614bd72669d68884901ff569;0
??;21/09/2021 17:05,,,,614f1c0023345224b3b6a478,614bd72669d68884901ff56a;0
Migros, Carrefour, Macro Center, mercados Groseri e �a?da? e D� https://t.co/a5tpbGxzjT;21/09/2021 17:04,614f1c0023345224b3b6a479,614bd72669d68884901ff56b;0
